E;01-05-2010 09:58:26.000;01-05-2010 09:58:58.000;32
G;01-05-2010 10:33:19.000;01-05-2010 10:34:09.000;50
E;02-05-2010 05:43:02.000;02-05-2010 05:44:07.000;65
G;02-05-2010 06:18:10.000;02-05-2010 06:19:24.000;74
E;03-05-2010 12:25:56.000;03-05-2010 12:26:43.000;47
G;03-05-2010 13:01:02.000;03-05-2010 13:01:40.000;38
E;04-05-2010 19:44:41.000;04-05-2010 19:45:49.000;68
G;04-05-2010 20:19:36.000;04-05-2010 20:20:38.000;62
E;04-05-2010 23:19:44.000;04-05-2010 23:20:18.000;34
E;09-05-2010 13:57:47.000;09-05-2010 13:58:53.000;66
G;09-05-2010 14:32:38.000;09-05-2010 14:33:39.000;61
E;14-05-2010 13:30:34.000;14-05-2010 13:31:27.000;53
G;14-05-2010 14:05:34.000;14-05-2010 14:06:18.000;44
E;17-05-2010 18:45:17.000;17-05-2010 18:46:21.000;64
E;21-05-2010 16:35:04.000;21-05-2010 16:35:48.000;44
G;21-05-2010 17:10:08.000;21-05-2010 17:11:29.000;81
E;27-05-2010 18:55:14.000;27-05-2010 18:56:28.000;74
G;27-05-2010 19:30:22.000;27-05-2010 19:30:59.000;37
E;29-05-2010 14:26:24.000;29-05-2010 14:27:28.000;64
G;29-05-2010 15:01:32.000;29-05-2010 15:02:22.000;50
E;04-06-2010 13:05:30.000;04-06-2010 13:06:17.000;47
G;04-06-2010 13:40:32.000;04-06-2010 13:41:15.000;43
E;09-06-2010 13:10:52.000;09-06-2010 13:11:39.000;47
G;09-06-2010 13:45:49.000;09-06-2010 13:47:09.000;80
E;14-06-2010 21:50:44.000;14-06-2010 21:51:17.000;33
G;14-06-2010 22:25:39.000;14-06-2010 22:26:34.000;55
E;20-06-2010 16:15:39.000;20-06-2010 16:16:38.000;59
G;20-06-2010 16:50:37.000;20-06-2010 16:51:42.000;65
E;21-06-2010 03:31:35.000;21-06-2010 03:32:36.000;61
G;21-06-2010 04:06:39.000;21-06-2010 04:07:23.000;44
E;24-06-2010 14:29:30.000;24-06-2010 14:30:15.000;45
E;08-07-2010 12:56:36.000;08-07-2010 12:57:36.000;60
G;08-07-2010 13:31:44.000;08-07-2010 13:32:54.000;70
E;11-07-2010 23:08:18.000;11-07-2010 23:09:47.000;89
G;11-07-2010 23:43:09.000;11-07-2010 23:44:26.000;77
E;13-07-2010 17:57:24.000;13-07-2010 17:58:16.000;52
G;13-07-2010 18:32:16.000;13-07-2010 18:33:14.000;58
E;15-07-2010 07:38:42.000;15-07-2010 07:39:42.000;60
G;15-07-2010 08:13:50.000;15-07-2010 08:14:39.000;49
E;22-07-2010 01:25:07.000;22-07-2010 01:25:40.000;33
G;22-07-2010 01:59:57.000;22-07-2010 02:01:11.000;74
E;24-07-2010 10:59:11.000;24-07-2010 11:00:02.000;51
G;24-07-2010 11:34:19.000;24-07-2010 11:35:16.000;57
E;30-07-2010 10:46:05.000;30-07-2010 10:47:09.000;64
G;30-07-2010 11:21:00.000;30-07-2010 11:21:37.000;37
E;01-08-2010 01:33:37.000;01-08-2010 01:34:07.000;30
E;06-08-2010 22:12:51.000;06-08-2010 22:14:06.000;75
G;06-08-2010 22:47:49.000;06-08-2010 22:48:31.000;42
E;09-08-2010 03:16:32.000;09-08-2010 03:17:12.000;40
G;09-08-2010 03:51:34.000;09-08-2010 03:52:25.000;51
E;09-08-2010 16:54:06.000;09-08-2010 16:55:27.000;81
G;09-08-2010 17:28:58.000;09-08-2010 17:29:28.000;30
E;25-08-2010 07:27:31.000;25-08-2010 07:28:40.000;69
G;25-08-2010 08:02:22.000;25-08-2010 08:03:19.000;57
E;26-08-2010 23:45:20.000;26-08-2010 23:46:19.000;59
G;27-08-2010 00:20:25.000;27-08-2010 00:21:43.000;78
E;07-09-2010 19:01:46.000;07-09-2010 19:02:55.000;69
G;07-09-2010 19:36:52.000;07-09-2010 19:37:53.000;61
E;21-09-2010 05:23:47.000;21-09-2010 05:25:06.000;79
G;21-09-2010 05:58:41.000;21-09-2010 05:59:15.000;34
E;24-09-2010 19:58:35.000;24-09-2010 19:59:24.000;49
G;24-09-2010 20:33:38.000;24-09-2010 20:34:37.000;59
E;25-09-2010 00:31:16.000;25-09-2010 00:32:33.000;77
D;01-05-2010 10:51:45.000;01-05-2010 10:53:29.000;104
E;01-05-2010 11:06:43.000;01-05-2010 11:08:13.000;90
F;01-05-2010 11:16:52.000;01-05-2010 11:18:30.000;98
D;06-05-2010 09:49:54.000;06-05-2010 09:52:46.000;172
E;06-05-2010 10:04:47.000;06-05-2010 10:05:26.000;39
F;06-05-2010 10:14:51.000;06-05-2010 10:17:18.000;147
D;06-05-2010 10:59:47.000;06-05-2010 11:02:12.000;145
E;06-05-2010 11:14:44.000;06-05-2010 11:15:43.000;59
F;06-05-2010 11:24:48.000;06-05-2010 11:27:12.000;144
D;18-05-2010 07:31:13.000;18-05-2010 07:33:00.000;107
E;18-05-2010 07:46:06.000;18-05-2010 07:46:49.000;43
F;18-05-2010 07:56:21.000;18-05-2010 07:58:33.000;132
D;23-05-2010 13:41:17.000;23-05-2010 13:42:26.000;69
E;23-05-2010 13:56:11.000;23-05-2010 13:56:46.000;35
F;23-05-2010 14:06:17.000;23-05-2010 14:08:04.000;107
D;05-06-2010 17:39:12.000;05-06-2010 17:41:36.000;144
E;05-06-2010 17:54:04.000;05-06-2010 17:55:08.000;64
F;05-06-2010 18:04:08.000;05-06-2010 18:06:37.000;149
D;12-06-2010 10:08:31.000;12-06-2010 10:11:13.000;162
F;12-06-2010 10:33:24.000;12-06-2010 10:35:52.000;148
D;12-06-2010 10:35:47.000;12-06-2010 10:38:46.000;179
E;12-06-2010 10:50:55.000;12-06-2010 10:52:22.000;87
F;12-06-2010 11:00:56.000;12-06-2010 11:02:49.000;113
D;16-06-2010 09:45:32.000;16-06-2010 09:47:49.000;137
F;16-06-2010 10:10:37.000;16-06-2010 10:12:58.000;141
D;16-06-2010 19:34:05.000;16-06-2010 19:35:25.000;80
E;16-06-2010 19:49:05.000;16-06-2010 19:50:09.000;64
F;16-06-2010 19:59:12.000;16-06-2010 20:00:45.000;93
D;23-06-2010 06:25:11.000;23-06-2010 06:28:09.000;178
E;23-06-2010 06:40:09.000;23-06-2010 06:41:19.000;70
F;23-06-2010 06:50:07.000;23-06-2010 06:52:20.000;133
D;23-06-2010 21:22:39.000;23-06-2010 21:23:52.000;73
F;23-06-2010 21:47:31.000;23-06-2010 21:49:59.000;148
D;25-06-2010 19:08:46.000;25-06-2010 19:09:52.000;66
E;25-06-2010 19:23:54.000;25-06-2010 19:24:53.000;59
F;25-06-2010 19:33:47.000;25-06-2010 19:35:32.000;105
D;25-06-2010 21:38:51.000;25-06-2010 21:40:06.000;75
E;25-06-2010 21:53:51.000;25-06-2010 21:55:17.000;86
F;25-06-2010 22:03:58.000;25-06-2010 22:06:00.000;122
D;30-06-2010 14:20:52.000;30-06-2010 14:23:25.000;153
E;30-06-2010 14:35:59.000;30-06-2010 14:36:34.000;35
F;30-06-2010 14:45:59.000;30-06-2010 14:48:18.000;139
D;05-07-2010 17:09:09.000;05-07-2010 17:12:09.000;180
E;05-07-2010 17:24:05.000;05-07-2010 17:25:06.000;61
F;05-07-2010 17:34:05.000;05-07-2010 17:35:59.000;114
D;06-07-2010 05:59:29.000;06-07-2010 06:02:03.000;154
E;06-07-2010 06:14:31.000;06-07-2010 06:16:00.000;89
D;11-07-2010 18:18:13.000;11-07-2010 18:21:06.000;173
E;11-07-2010 18:33:04.000;11-07-2010 18:34:01.000;57
F;11-07-2010 18:43:10.000;11-07-2010 18:45:39.000;149
D;12-07-2010 22:39:39.000;12-07-2010 22:41:35.000;116
E;12-07-2010 22:54:35.000;12-07-2010 22:55:28.000;53
F;12-07-2010 23:04:47.000;12-07-2010 23:06:42.000;115
D;13-07-2010 12:04:42.000;13-07-2010 12:06:59.000;137
E;13-07-2010 12:19:38.000;13-07-2010 12:20:49.000;71
F;13-07-2010 12:29:41.000;13-07-2010 12:31:35.000;114
D;17-07-2010 15:51:44.000;17-07-2010 15:54:17.000;153
